Position,Number,Name,Pos_in_swim,Swim_time,T1,Pos_in_bike,Bike_time,T2,Pos_in_run,Run_time,Race_control,Time,Rank,Category
378.,229,BAETENS Elke,997,34:14,4:21,268,1:38:04,1:51,373,34:01,Finish,2:52:34,6/51,F35-39
384.,341,DECOCK Agathe,314,27:18,2:31,437,1:45:33,1:49,488,35:33,Finish,2:52:46,9/81,F30-34
395.,849,BUROH Johanna,355,27:46,2:48,451,1:46:00,1:23,470,35:18,Finish,2:53:17,4/8,F18-19
406.,125,VILLETTE Perrine,409,28:20,3:28,520,1:48:18,1:22,288,32:41,Finish,2:54:11,6/26,F20-24
408.,38,MILLIERE Marie,442,28:41,2:11,473,1:46:53,1:23,458,35:08,Finish,2:54:18,10/81,F30-34
409.,251,MINET Véronique,486,29:02,3:17,487,1:47:29,1:38,303,33:00,Finish,2:54:28,7/51,F35-39
416.,832,ZANTE Juliette,220,25:56,3:03,382,1:42:57,1:08,955,41:59,Finish,2:55:05,7/26,F20-24
423.,767,GUIRAL Aurélie,115,24:05,4:50,696,1:54:07,1:47,165,30:47,Finish,2:55:38,11/81,F30-34
428.,696,VINCENT Rachel,415,28:27,2:39,592,1:50:45,1:26,279,32:33,Finish,2:55:53,3/52,F45-49
442.,566,LOMBARDI Elena,288,26:46,2:52,573,1:49:59,1:31,486,35:31,Finish,2:56:41,14/93,F25-29
444.,757,LOUGHRAN Gretta,254,26:22,2:25,639,1:52:14,1:39,379,34:03,Finish,2:56:45,5/40,F40-44
447.,854,SCHILLING Henriette,184,25:24,2:30,691,1:54:02,1:46,323,33:22,Finish,2:57:05,8/51,F35-39
449.,1023,SECQ Manon,429,28:37,3:13,432,1:45:27,1:24,721,38:36,Finish,2:57:19,15/93,F25-29
452.,1103,OUDE WEERNINK Tess,326,27:29,1:59,558,1:49:24,1:31,605,37:06,Finish,2:57:30,16/93,F25-29
453.,462,TRIBEL Léo,1363,41:33,2:01,310,1:39:32,54,333,33:29,Finish,2:57:31,12/81,F30-34
459.,923,HUBERT Aline,341,27:40,4:21,549,1:49:06,1:11,475,35:24,Finish,2:57:44,13/81,F30-34
468.,458,TRASBOT Emeline,649,30:29,2:50,565,1:49:41,1:05,363,33:52,Finish,2:57:59,8/26,F20-24
469.,242,SESTIER CARLIN Sandrine,282,26:42,3:43,599,1:51:01,1:51,432,34:44,Finish,2:58:04,6/40,F40-44
480.,460,BORCA Ninon,846,32:21,3:20,513,1:48:08,1:38,319,33:15,Finish,2:58:44,9/26,F20-24
484.,908,AYRAULT Laura,510,29:15,3:50,535,1:48:38,1:40,483,35:29,Finish,2:58:54,14/81,F30-34
492.,1062,BELLEGO Valérie,65,22:07,2:47,643,1:52:28,1:47,850,40:25,Finish,2:59:36,2/43,F50-54
498.,1605,QUARTELLI Pauline,652,30:31,4:07,514,1:48:12,2:03,463,35:12,Finish,3:00:06,15/81,F30-34
406.,125,VILLETTE Perrine,409,28:20,3:28,520,1:48:18,1:22,288,32:41,Finish,2:54:11,6/26,F20-24
408.,38,MILLIERE Marie,442,28:41,2:11,473,1:46:53,1:23,458,35:08,Finish,2:54:18,10/81,F30-34
409.,251,MINET Véronique,486,29:02,3:17,487,1:47:29,1:38,303,33:00,Finish,2:54:28,7/51,F35-39
416.,832,ZANTE Juliette,220,25:56,3:03,382,1:42:57,1:08,955,41:59,Finish,2:55:05,7/26,F20-24
